id,imdb_id,name,popularity,image_resource
62418,nm0156875,Charlie Chin Chiang-Lin,6.752,classpath:/static/images/celebs/img_62418.jpg
61855,nm0687937,Eyal Podell,6.752,classpath:/static/images/celebs/img_61855.jpg
38331,nm0041029,Edward Atterton,6.751,classpath:/static/images/celebs/img_38331.jpg
1041731,nm0444676,Rory Keenan,6.751,classpath:/static/images/celebs/img_1041731.jpg
1348015,nm4954157,Hana Sugisaki,6.751,classpath:/static/images/celebs/img_1348015.jpg
26755,nm0158605,Charlie Cho,6.751,classpath:/static/images/celebs/img_26755.jpg
70776,nm1285540,Kellee Stewart,6.75,classpath:/static/images/celebs/img_70776.jpg
7691,nm0239764,Caroline Ducey,6.75,classpath:/static/images/celebs/img_7691.jpg
1218936,nm0244167,Barbara Durkin,6.749,classpath:/static/images/celebs/img_1218936.jpg
21479,nm0002989,Andrew Stevens,6.749,classpath:/static/images/celebs/img_21479.jpg
9741,nm0544786,Jean Marais,6.749,classpath:/static/images/celebs/img_9741.jpg
138770,nm2336905,Cassidy Freeman,6.749,classpath:/static/images/celebs/img_138770.jpg
1962720,nm2825058,William Catlett,6.749,classpath:/static/images/celebs/img_1962720.jpg
1803287,nm6543093,Geraldine Viswanathan,6.749,classpath:/static/images/celebs/img_1803287.jpg
56322,nm0688132,Amy Poehler,6.748,classpath:/static/images/celebs/img_56322.jpg
232005,nm3862996,Sam Underwood,6.748,classpath:/static/images/celebs/img_232005.jpg
31364,nm0235243,Sarah Douglas,6.747,classpath:/static/images/celebs/img_31364.jpg
9908,nm0002085,Gert Fröbe,6.747,classpath:/static/images/celebs/img_9908.jpg
1084317,nm1682324,Noah Cyrus,6.746,classpath:/static/images/celebs/img_1084317.jpg
2286570,nm10155944,Belmont Cameli,6.745,classpath:/static/images/celebs/img_2286570.jpg
1136674,nm0646041,Zuhal Olcay,6.744,classpath:/static/images/celebs/img_1136674.jpg
12798,nm0006663,Enrique Murciano,6.744,classpath:/static/images/celebs/img_12798.jpg
145678,nm0726034,Patrick Ridremont,6.744,classpath:/static/images/celebs/img_145678.jpg
113868,nm2328628,Matt Prokop,6.743,classpath:/static/images/celebs/img_113868.jpg
32203,nm0610459,Stephen Moyer,6.743,classpath:/static/images/celebs/img_32203.jpg
112278,nm0847085,Wataru Takagi,6.743,classpath:/static/images/celebs/img_112278.jpg
85221,nm0890548,Oleg Vasilkov,6.742,classpath:/static/images/celebs/img_85221.jpg
34901,nm0525921,Joanna Lumley,6.74,classpath:/static/images/celebs/img_34901.jpg
2361755,nm3315947,Kit Young,6.74,classpath:/static/images/celebs/img_2361755.jpg
124048,nm0053329,Todd Barbee,6.74,classpath:/static/images/celebs/img_124048.jpg
925,nm0002117,Paul Guilfoyle,6.74,classpath:/static/images/celebs/img_925.jpg
1251516,nm2164860,Lee Kyu-han,6.74,classpath:/static/images/celebs/img_1251516.jpg
19107,nm0870038,Harry Townes,6.74,classpath:/static/images/celebs/img_19107.jpg
2621980,,Ryeoun,6.739,classpath:/static/images/celebs/img_2621980.jpg
9264,nm0590790,Sergio Mimica-Gezzan,6.738,classpath:/static/images/celebs/img_9264.jpg
1248277,nm1224068,Maxi Iglesias,6.737,classpath:/static/images/celebs/img_1248277.jpg
3359,nm0000059,Laurence Olivier,6.737,classpath:/static/images/celebs/img_3359.jpg
1308373,nm3871647,Dylan Gelula,6.736,classpath:/static/images/celebs/img_1308373.jpg
80967,nm0154632,Ricardo Chavira,6.736,classpath:/static/images/celebs/img_80967.jpg
224462,nm0998211,Naoya Uchida,6.736,classpath:/static/images/celebs/img_224462.jpg
92857,nm0363371,Shalom Harlow,6.735,classpath:/static/images/celebs/img_92857.jpg
111116,nm1013218,Matthew Rauch,6.735,classpath:/static/images/celebs/img_111116.jpg
1280426,nm5526298,Egor Koreshkov,6.735,classpath:/static/images/celebs/img_1280426.jpg
1677008,nm8274155,Janice Wu,6.735,classpath:/static/images/celebs/img_1677008.jpg
1213573,nm0453115,Taran Killam,6.734,classpath:/static/images/celebs/img_1213573.jpg
1222676,nm1651027,Scott Colton,6.734,classpath:/static/images/celebs/img_1222676.jpg
61256,nm0942901,Trevor Wright,6.734,classpath:/static/images/celebs/img_61256.jpg
1827498,nm7385556,Blu Hunt,6.734,classpath:/static/images/celebs/img_1827498.jpg
